country,values
AFG,12.92
AGO,21.51
ALB,11.27
ARE,26.83
ARG,14.22
ARM,6.37
AUS,21.51
AUT,6.19
AZE,12.22
BDI,20.27
BEL,9.51
BEN,27.46
BFA,28.18
BGD,25.47
BGR,10.4
BHS,25.06
BIH,9.02
BLR,6.29
BLZ,25.06
BOL,20.98
BRA,24.92
BRN,25.93
BTN,8.58
BWA,21.48
CAF,24.84
CAN,0.83
CHE,4.75
CHL,8.37
CHN,6.33
CIV,26.3
CMR,24.53
COD,24.04
COG,24.52
COL,24.4
COM,23.99
CRI,23.85
CUB,25.13
CYP,18.71
CZE,7.67
DEU,8.5
DJI,27.64
DNK,7.82
DOM,23.93
DZA,22.58
ECU,21.33
EGY,22.12
ERI,26.07
ESH,23.39
ESP,13.03
EST,5.03
